seed,n,mle_success,mle_strict_convergence,mle_objective,mle_gradnorm,mle_starts_success,mle_near_boundary,mle_start_maxspread,mle_b,mle_a1,mle_d,mle_pi,smm_success,smm_strict_convergence,smm_objective,smm_gradnorm,smm_starts_success,smm_near_boundary,smm_start_maxspread,smm_b,smm_a1,smm_d,smm_pi,logit_success,logit_b,logit_a1,mix_rmse_train,logit_rmse_train,mix_rmse_interp,logit_rmse_interp,mix_rmse_extra,logit_rmse_extra,mix_rmse_policy,logit_rmse_policy,smm_rmse_train,smm_rmse_interp,smm_rmse_extra,smm_rmse_policy,mix_bin_mae,logit_bin_mae,smm_bin_mae,smm_targeted_weighted_norm,mix_heldout_brier,smm_heldout_brier,logit_heldout_brier,true_cf_participation,true_cf_change,true_transfer_per_person,mix_cf_participation,mix_cf_change,mix_transfer_per_person,smm_cf_participation,smm_cf_change,smm_transfer_per_person,logit_cf_participation,logit_cf_change,logit_transfer_per_person,mle_hess_pd,mle_cover_b,mle_cover_a1,mle_cover_d,mle_cover_pi
24001,500,True,False,316.2861175900375,0.02269065498216283,8,True,1.8561596041855033e-06,0.3686001167500081,1.6695468187630644,5.0,0.7256095569049927,True,True,0.010790529344825371,8.582978449197403e-05,8,True,6.09290794928441e-06,0.34378400467191134,1.6971258356468832,5.0,0.7322689898669507,True,-0.35265476184525363,1.153448484871085,0.022402696659670766,0.014865186890606868,0.024547549282338946,0.015247020532071163,0.061285179587093834,0.0016517522288680112,0.10818662349351658,0.005008841268125996,0.021889111555069177,0.024328103985465033,0.055156555867013096,0.10125296913056052,0.028937605410449214,0.02262198518892026,0.02996003053298646,0.10387747274951085,0.20550520600798597,0.20511173305882,0.20297257146096762,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.7951549327485071,0.10775401768468064,0.7951549327485071,0.8022410358664191,0.10854388366904068,0.8022410358664191,0.9030352537317691,0.15610700574633118,0.9030352537317691,False,,,,
24002,500,True,True,321.44088684881933,0.0003478674873385674,8,True,4.98,4.0,1.1111108055829393,4.488459526807274,0.05318679236511706,True,True,0.011183437592616113,7.475959273134085e-08,8,False,3.3691463708860336,2.6493164662590254,1.3129204704938136,3.3891463708860337,0.14274612521317287,True,-0.34219876230545465,1.0219440979833117,0.025136317833709808,0.02528789380134406,0.022016300633163108,0.022992870163521462,0.0216125124033251,0.029639096258059505,0.022892668834655162,0.03446056678183503,0.023487276876486204,0.020277080395540513,0.002600090718666702,0.004892080758621897,0.00891692028903892,0.008879895619855922,0.010255796699837179,0.10575177347267568,0.2089560849415402,0.2087462573208436,0.2091736270500797,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.8872272751711524,0.16211969376533528,0.8872272751711524,0.9139436537242692,0.164793553066715,0.9139436537242692,0.8753365014216055,0.15816113300891907,0.8753365014216055,False,,,,
24003,500,True,False,307.5020025809579,0.21276288186183492,8,True,6.077369607560001e-07,0.5572297368331292,2.1029039087905255,5.0,0.6644830128038194,True,True,0.01894414717260823,0.0006522320924043933,8,True,4.775574411652519,0.4990037733103308,2.1601670047164934,5.0,0.6800034996234956,True,-0.4237207149890547,1.2659617748828398,0.025348503063756345,0.006666244534299772,0.022232783732787788,0.005458718349122345,0.06260357928852775,0.012873828990342923,0.07042663890019706,0.010507048503456535,0.029284547879744344,0.02676934670062024,0.04939354578993051,0.057643334243634534,0.01037631975249375,0.011696527540161102,0.010338999690001481,0.13763773891127473,0.21026575527254543,0.20935104209479485,0.20573382946842633,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.8522738295723405,0.1669021861842279,0.8522738295723405,0.8644534530659244,0.1655507145275359,0.8644534530659244,0.9176420641028535,0.15812197119926052,0.9176420641028535,False,,,,
24004,500,True,True,304.0463929629062,9.872621343709404e-08,8,False,2.05261262388643,1.7060229693372484,2.787168179794346,4.123922458203277,0.41162852212415413,True,True,0.01720896529272074,3.3457025329950118e-09,8,False,2.3547231720044692e-06,1.9298239509724242,3.3943654040007583,4.829929212944534,0.4214414967402919,True,-0.45065126394535276,1.4366931448113345,0.027027248637814,0.025141410968748695,0.013241318511494833,0.020950275312452922,0.09673699571450345,0.04464541193968121,0.09351364799596992,0.037286987778690085,0.03916470877277228,0.020213851347705234,0.12693349795175904,0.10873797439051103,0.036747346018335784,0.04463020630502868,0.029648712328615608,0.1311829458913038,0.2058384958012472,0.20926872637386384,0.20191730200306743,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.9866772194318651,0.14416358474355084,0.9866772194318651,0.994331733255963,0.12157794392508632,0.994331733255963,0.9406409323739656,0.14935807536381063,0.9406409323739656,True,True,True,True,True
24005,500,True,False,311.2847121389148,0.26059853586773823,8,True,4.98,2.5762149100249787,2.9439513020331147,5.0,0.34933828278900575,True,False,0.0025626085502422472,0.0010161862531490062,8,True,4.98,2.582753288428462,2.949944689776579,5.0,0.3484405095156201,True,-0.43489675912862324,1.2285185622175219,0.023115637709415493,0.003553382535414343,0.01828007024264797,0.0036799037081979486,0.10402935613377509,0.002292996108007048,0.0986455357012956,0.001912800863897882,0.02344691478771998,0.018195839286341234,0.1053351241012731,0.09907825306040642,0.020850679103390467,0.0319201982292639,0.02056853630762965,0.05062221399980692,0.21173484918549781,0.21183519703828052,0.20820705039685408,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.9894977749183539,0.13994136024826392,0.9894977749183539,0.9896845892768105,0.1387805891592563,0.9896845892768105,0.9102224332436036,0.1612934145566671,0.9102224332436036,False,,,,
24006,500,True,False,310.7252113536834,0.026124457852093337,8,True,7.548385488886922e-08,0.38390357730842833,1.8078937754355613,5.0,0.6895435021756064,True,True,0.008257046622927493,9.426706850189292e-05,8,True,1.6452071704975424e-06,0.3892251148286298,1.8715170766220637,5.0,0.6866882876258243,True,-0.44163313714804175,1.198511642387259,0.018617526191653692,0.00508253119525741,0.012051192014003549,0.005241958467621472,0.07807612612800689,0.006010935485623395,0.11379972712346625,0.0051452465883029055,0.019780820579748167,0.013208887128858123,0.0747485987037932,0.10587676111875374,0.008083106577006838,0.00936360803994192,0.008122788211441662,0.09086829272594205,0.21633800187007812,0.21619776347298028,0.2181131678519273,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.7956839794274698,0.1256071926577489,0.7956839794274698,0.8058895441321583,0.13248120853156406,0.8058895441321583,0.9040370907952587,0.16339861436121308,0.9040370907952587,False,,,,
24007,500,True,True,309.44929978917196,1.3288333718646246e-05,8,False,3.8137442015666676,2.8602291357693126,1.6027017789971643,3.833738790686322,0.1462980417386392,True,True,0.003307364714973699,2.0936358382359485e-07,8,True,0.8677933546870681,-0.4723217501272253,1.240275499880124,0.02,0.979985831643276,True,-0.46453203172091406,1.2231924977819382,0.015361422548185864,0.009391681357775659,0.01713220720991129,0.009987129499529734,0.026096172683320675,0.004602527587796919,0.03421336087377823,0.002473416823810616,0.011101615975585065,0.011777125871666756,0.00229697384388997,0.0004079329851236106,0.01580208448718088,0.018392533306968252,0.01851823478015495,0.05750969235679929,0.20336876871769147,0.20351471811620428,0.20352284812729107,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.9412627011483946,0.16911513056151628,0.9412627011483946,0.9092705962703524,0.16471791424103133,0.9092705962703524,0.9067813548847592,0.16468431501114597,0.9067813548847592,True,True,True,True,True
24008,500,True,False,310.32123115678655,0.0725794486049235,8,True,4.98,3.072377697314659,2.6975177425496453,5.0,0.2941735492940221,True,True,0.011738927235734768,0.0002689202776767668,8,True,4.98,2.7444613476110744,3.000298116023437,5.0,0.32983917712956534,True,-0.39200824086972147,1.2683460784560654,0.030794143946875265,0.010434271174254979,0.020087759615138066,0.009308381591477514,0.1135329908341842,0.01910922731474997,0.09789585334609752,0.014165996594466032,0.030464693981355328,0.018498600987744307,0.1246972356755014,0.10462467602063089,0.030012572443059056,0.035627126875436996,0.02419755989143315,0.10834633005199008,0.21651591071679518,0.21792446412469996,0.20839436520731827,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.9881066255124087,0.12837020870314414,0.9881066255124087,0.991883981575914,0.1210489141679162,0.991883981575914,0.9203905475412968,0.15463437512135936,0.9203905475412968,False,,,,
24009,500,True,True,309.818090319193,4.7536530700229284e-07,8,False,5.3560447703659975e-06,1.1788058974438167,2.525289756603398,4.806226374599475,0.571148017640155,True,True,0.0017159458144009577,3.71092363111891e-09,8,False,1.4539021027104582e-06,1.2918502748347034,2.6656193341383836,4.901368226175384,0.5570918463093887,True,-0.3679810109071082,1.2374684882349103,0.03138133674530917,0.012711305220113678,0.03263071266390952,0.01260274160881701,0.01820895186229907,0.016597017747999116,0.03173917581268808,0.010767477244103785,0.03204042247577733,0.03287384296597097,0.010904742720405942,0.045468082690780495,0.01909825012548734,0.02590521217272214,0.020712641157683016,0.04142397632290939,0.21342589495374084,0.2136973908722103,0.21449908298378462,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.9484278292443186,0.21877430061666295,0.9484278292443186,0.9602389060373142,0.2169697600393658,0.9602389060373142,0.917055840759259,0.15383118968857099,0.917055840759259,True,True,True,False,True
24010,500,True,False,304.71515353366146,0.9605725706123207,8,True,1.1508936725856955e-06,1.433136105563159,2.991240979101892,5.0,0.5063349353808402,True,False,0.015407430272544306,0.0037437499109278906,8,True,2.836406542972014e-07,1.4430011559028197,3.019143646043523,5.0,0.5033877683568035,False,-0.47204118462412836,1.2508674815839753,0.030200689500288848,0.011121470445914508,0.021330235135551344,0.01172061428778491,0.030963994583485695,0.0011171380935285657,0.07141355356412939,0.0024723715246241875,0.030696396937916377,0.021449998642021576,0.03444896678441845,0.07376315553661074,0.025886643136530253,0.04990276018538647,0.0262259239647903,0.12412667027091441,0.21261006721438486,0.21277908081888652,0.21176702426452632,0.9087912488797802,0.16214313919068266,0.9087912488797802,0.9781399372952932,0.20783233473596985,0.9781399372952932,0.9794484627839821,0.20510088629029263,0.9794484627839821,0.911249538145133,0.16409927616325773,0.911249538145133,False,,,,
