rep,estimator,model,start,initial,final,objective,raw_grad_inf,projected_grad_inf,raw_gradient,projected_gradient,active_bounds,software_success,status,message,distance_from_best,numerical_accept
n3000_s523,smm,mixture,2,"[1.5, 1.2, 0.2, 2.5, 0.75]","[1.4126325342006587, 1.2041567653308396, -0.7022610686045578, 4.0, 0.7438539317804033]",0.11255340807562818,0.0006993299248540666,6.939885697360149e-07,"[-1.8293892458829883e-07, 3.5857793362174817e-07, 2.4327252387025544e-07, -0.0006993299248540666, -6.939885697360149e-07]","[-1.8293892458829883e-07, 3.5857793362174817e-07, 2.4327252387025544e-07, 0.0, -6.939885697360149e-07]",3:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.494005416219807e-16,True
n3000_s523,smm,mixture,3,"[0.12628129828401888, 1.5811018774093053, -0.6398190015918834, 2.4441108070226814, 0.7962991191317029]","[1.4126325280512861, 1.2041567590275295, -0.7022610507448243, 4.0, 0.7438539367636682]",0.11255340807562743,0.0006993386299026301,7.68817464118915e-09,"[7.68817464118915e-09, -7.378463074900199e-10, 2.4807929148440433e-09, -0.0006993386299026301, 1.0731064474522878e-10]","[7.68817464118915e-09, -7.378463074900199e-10, 2.4807929148440433e-09, 0.0, 1.0731064474522878e-10]",3:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,True
n3000_s523,smm,mixture,4,"[1.578526082511839, 1.9954980470990695, -2.359733503645545, 0.3367380979997888, 0.6687060143074164]","[1.4126325223529193, 1.2041567543122724, -0.702261037283599, 4.0, 0.7438539407231158]",0.11255340807562822,0.0006993423669721321,2.979996861253442e-07,"[8.084138095271545e-08, -1.513407322639021e-07, -1.0217021889982747e-07, -0.0006993423669721321, 2.979996861253442e-07]","[8.084138095271545e-08, -1.513407322639021e-07, -1.0217021889982747e-07, 0.0, 2.979996861253442e-07]",3:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.91033905045424e-16,True
n3000_s523,smm,mixture,5,"[2.090459359054411, 1.7453314415382888, -1.2024032770508315, 0.7504181538816537, 0.29878245039814094]","[1.4126324581984926, 1.2041567320576967, -0.7022610036472539, 4.0, 0.743853958783208]",0.1125534080756446,0.0006993538610753883,2.132233491332347e-06,"[3.939621204132951e-08, -1.6047761966942603e-06, -1.1298372930594255e-06, -0.0006993538610753883, 2.132233491332347e-06]","[3.939621204132951e-08, -1.6047761966942603e-06, -1.1298372930594255e-06, 0.0, 2.132233491332347e-06]",3:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7166823518266483e-14,True
n3000_s523,smm,mixture,6,"[1.1263719171324709, 2.027506479917372, -2.1038027700421096, 1.7101679287813865, 0.6127926444759196]","[1.4126324225560427, 1.2041566515517654, -0.7022607381327468, 4.0, 0.7438540157441837]",0.112553408075653,0.0006992360117899128,9.037047083316346e-06,"[-2.2551241237356474e-06, 5.075899766910502e-06, 3.4276390923162516e-06, -0.0006992360117899128, -9.037047083316346e-06]","[-2.2551241237356474e-06, 5.075899766910502e-06, 3.4276390923162516e-06, 0.0, -9.037047083316346e-06]",3:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.5576762929802044e-14,True
n3000_s523,smm,mixture,7,"[1.1629774663785495, 1.8439566097440583, -0.48600530116311624, 1.261824717587544, 0.6496097907344272]","[1.4126325305334857, 1.2041567614512236, -0.7022610584261532, 4.0, 0.7438539346394554]",0.11255340807562784,0.0006993382957503584,1.5816029800934384e-08,"[2.3242054439896742e-09, -1.5816029800934384e-08, -5.169746792113572e-09, -0.0006993382957503584, -2.6809843407804568e-09]","[2.3242054439896742e-09, -1.5816029800934384e-08, -5.169746792113572e-09, 0.0, -2.6809843407804568e-09]",3:upper,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.163336342344337e-16,True
n3000_s523,smm,single,0,"[1.0, 0.8, 0.2]","[1.1716081844039783, 0.981381876541981, -0.007442014995944983]",0.14083004818062453,3.694157174171514e-07,3.694157174171514e-07,"[-2.2289782161937638e-07, 3.694157174171514e-07, 2.773254406066711e-07]","[-2.2289782161937638e-07, 3.694157174171514e-07, 2.773254406066711e-07]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,True
n3000_s523,smm,single,1,"[0.6, 0.5, -0.8]","[1.1716081843310653, 0.9813818796340918, -0.0074420201281346415]",0.1408300481806249,4.814769221338222e-08,4.814769221338222e-08,"[-2.9554197956103978e-08, 4.814769221338222e-08, 1.890880095729852e-08]","[-2.9554197956103978e-08, 4.814769221338222e-08, 1.890880095729852e-08]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.608224830031759e-16,True
n3000_s523,smm,single,2,"[0.5127793563067616, 1.4086108393017838, -1.5914019330078686]","[1.1716081831142287, 0.9813818786612218, -0.00744201971961332]",0.14083004818062478,3.227474440047756e-08,3.227474440047756e-08,"[-3.227474440047756e-08, -3.019251905780895e-08, -2.2740861927925127e-08]","[-3.227474440047756e-08, -3.019251905780895e-08, -2.2740861927925127e-08]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.498001805406602e-16,True
n3000_s523,smm,single,3,"[1.5460113301661822, 1.7863668556011556, 0.545919454100265]","[1.171608184951337, 0.9813818785323136, -0.0074420179454013444]",0.14083004818062475,8.932283948950848e-08,8.932283948950848e-08,"[-4.301897705248636e-08, 8.932283948950848e-08, 6.147597697830215e-08]","[-4.301897705248636e-08, 8.932283948950848e-08, 6.147597697830215e-08]",,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.220446049250313e-16,True
n3000_s523,smm,single,4,"[1.0160432360402032, 0.7225339270649811, -1.2637272521845193]","[1.1716081848096653, 0.9813818785771351, -0.0074420182471130495]",0.14083004818062475,4.5061610692842535e-12,4.5061610692842535e-12,"[7.926602083041523e-13, -4.5061610692842535e-12, -3.2441497405111264e-12]","[7.926602083041523e-13, -4.5061610692842535e-12, -3.2441497405111264e-12]",,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.220446049250313e-16,True
