pi_index,selected_start,objective,lr_from_unrestricted,in_grid_set,projected_gradient_max,policy_adoption_effect,terminal
0.1,4,1318.1292187509446,2.412281014888322,True,7.668340793243189e-06,0.05062648840805483,"[-0.6695933011883317, 1.4391584940390225, -0.3279361710180739, 0.9785647858128825, 0.5337737676167347]"
0.15,3,1317.821422628193,1.7966887693851277,True,7.756543565154872e-06,0.050686547641259856,"[-0.8447833492417303, 1.3338488827173065, -0.44344930746081823, 0.8725547725907781, 0.5361184971551349]"
0.2,2,1317.5749500099625,1.3037435329242726,True,5.275448346608869e-06,0.050842556819711365,"[-1.015579645004997, 1.272919505035685, -0.5689860593123991, 0.7928817408433677, 0.5377821112626682]"
0.25,2,1317.3748685725532,0.9035806581055112,True,6.66965387630114e-06,0.05106730904577803,"[-1.1866582153270964, 1.2361542007845425, -0.7112406985452873, 0.7267361570631062, 0.5389023033850612]"
0.3,3,1317.2133545654558,0.580552643910778,True,2.3391413720208476e-05,0.05134650958965583,"[-1.3608637327093611, 1.2150736743334447, -0.8786801767279979, 0.6685412112110226, 0.539552644682774]"
0.35,2,1317.087006718587,0.3278569501730999,True,2.46490571775837e-05,0.05166852308636582,"[-1.5401136370178585, 1.2051654673834193, -1.0842212854166131, 0.615197850848122, 0.5397702483589495]"
0.4,1,1316.995088943696,0.1440214003910114,True,5.475646505104237e-06,0.05202074682707241,"[-1.7258078345389725, 1.2037137755831764, -1.3510114125857817, 0.5647661533373433, 0.5395749893455332]"
0.45,1,1316.9385151480074,0.030873809013883147,True,6.487623878115301e-07,0.052388132807589236,"[-1.9191146362913356, 1.208993908444804, -1.729705202959047, 0.5159487867144967, 0.5389827808261033]"
0.5,0,1316.9375092074301,0.028861927859452408,True,6.6582480542365374e-06,0.05298625843344993,"[-2.027611536427521, 1.18004180497723, -2.0, 0.45546384719654975, 0.5367593369802534]"
0.55,1,1317.078710068334,0.3112636496671257,True,6.703007134725809e-06,0.053536266354767076,"[-2.044516704380935, 1.1153953629776072, -2.0, 0.38544762302436114, 0.5332804511398656]"
0.6,1,1317.3270854481111,0.8080144092214141,True,1.083720190170877e-05,0.05379027759691997,"[-2.062541387460825, 1.055127098562381, -2.0, 0.3191371086641341, 0.5299934378429679]"
0.65,1,1317.643181048624,1.440205610247176,True,5.122394988177348e-06,0.053827418517399084,"[-2.0826548197563732, 0.9995617951377266, -2.0, 0.256475904335302, 0.5269350033130787]"
0.7,0,1318.0001159733488,2.1540754596967417,True,7.74051955765554e-06,0.053711089691336485,"[-2.105880156240153, 0.9490882665253565, -2.0, 0.19742888019687327, 0.524109816839499]"
0.75,1,1318.3799178498807,2.9136792127605986,True,2.0745422371071243e-06,0.053490542808801805,"[-2.133424412394062, 0.9042001686655515, -2.0, 0.14196986849621926, 0.5215010828446729]"
0.8,3,1318.7709034915947,3.695650496188591,True,9.28115157150522e-06,0.05320321880117094,"[-2.1669409671498605, 0.8656071026960371, -2.0, 0.09008210905516922, 0.5190777112552482]"
0.85,2,1319.1658744927495,4.485592498498136,False,1.0503619228774643e-05,,"[-2.2090884531263453, 0.8344883026398499, -2.0, 0.04177587410211661, 0.516797506380834]"
0.9,0,1319.560978147906,5.275799808811371,False,8.287897230729868e-07,,"[-2.2649263827934285, 0.8131239239814014, -2.0, -0.002864576139836388, 0.5146049989801952]"
