n,estimator,model,replications,software_success_rate,numerical_accept_rate,boundary_rate,inference_eligible_rate,holdout_rmse_mean,baseline_rmse_mean,post_policy_rmse_mean,stress_rmse_mean,policy_bias_mean,coverage_all_b_s,coverage_conditional_b_s,coverage_all_a_q,coverage_conditional_a_q,coverage_all_k_low,coverage_conditional_k_low,coverage_all_delta,coverage_conditional_delta,coverage_all_pi_low,coverage_conditional_pi_low
600,mle,mixture,6,1.0,1.0,0.6666666666666666,0.3333333333333333,0.02639127686836788,0.04217264453910045,0.051630310621885854,0.054502854600212314,-0.005176285398922085,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0
600,mle,single,6,1.0,1.0,0.0,1.0,0.02623772756262036,0.03509074254515145,0.04161350696124746,0.04461780350365918,-0.008909219902424388,,,,,,,,,,
600,smm,mixture,6,1.0,1.0,1.0,0.0,0.025785769918098597,0.04443088794137764,0.05470275785703337,0.05724407174870139,-0.005460979319057924,0.0,,0.0,,0.0,,0.0,,0.0,
600,smm,single,6,1.0,1.0,0.0,1.0,0.025697805746767447,0.03582413070349439,0.04462178473360468,0.04702453097106062,-0.0073194959744371955,,,,,,,,,,
3000,mle,mixture,6,1.0,1.0,0.8333333333333334,0.16666666666666666,0.019156580403837307,0.0321999791172723,0.038631337848473446,0.04331800102890404,-0.002736353589562946,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.0,0.0
3000,mle,single,6,1.0,1.0,0.0,1.0,0.01736757845560904,0.02508047200392838,0.03044030047932569,0.03418647738850076,-0.004583577960895997,,,,,,,,,,
3000,smm,mixture,6,1.0,1.0,0.8333333333333334,0.16666666666666666,0.020257742804195625,0.03180800529165396,0.03815169778568366,0.042549963594540885,-0.002992068927005379,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.0,0.0
3000,smm,single,6,1.0,1.0,0.0,1.0,0.01848055950231726,0.026423400202879112,0.031865946413458905,0.0356214781690385,-0.005903102446321338,,,,,,,,,,
