iteration,objective,pi
1,1320.0810416475135,0.32590267090033354
2,1320.0085496647569,0.3259056505272647
3,1319.9276035503221,0.3259285294864151
4,1319.8362286527179,0.3259770326946023
5,1319.7338584773627,0.32605310198804127
6,1319.6202057733597,0.32615825502282975
7,1319.4953519461546,0.32629363860919525
8,1319.3598338059037,0.32645988610880494
9,1319.2147026292091,0.326657026194289
10,1319.0615511164297,0.3268844017730979
11,1318.9024848433132,0.32714065900988165
12,1318.7400409299523,0.3274238272791177
13,1318.5770423898614,0.3277313772174961
14,1318.416419605358,0.3280605104857919
15,1318.2610072508946,0.32840830008470345
16,1318.1133534159633,0.32877191600094696
17,1317.9755647258662,0.3291488019812252
18,1317.849200542897,0.3295367848798046
19,1317.7352384784117,0.32993412042917314
20,1317.6340847784168,0.33033950994399247
21,1317.545635254341,0.3307520266198755
22,1317.4693718808549,0.33117107330400636
23,1317.4044594317736,0.3315962232060298
24,1317.3498568593716,0.3320272240781137
25,1317.3044122537765,0.33246388152864975
26,1317.266943480492,0.33290602521177803
27,1317.2363002868683,0.33335346602198307
28,1317.211408082481,0.33380598481793883
29,1317.191294794163,0.3342633190309611
30,1317.1751043977931,0.3347251723953612
31,1317.1620993245483,0.3351912167941916
32,1317.1516562102388,0.3356611026844975
33,1317.1432563858364,0.3361344667051212
34,1317.136474288251,0.3366109419375274
35,1317.130965011269,0.33709017037790173
36,1317.1264517355771,0.3375718001499148
37,1317.122714179567,0.338055442800673
38,1317.1195785285013,0.3385408853160174
39,1317.116908396757,0.339027792208327
40,1317.11459746125,0.3395158859891952
41,1317.1125632419332,0.3400049161138289
42,1317.1107419566501,0.34049465512008537
43,1317.1090845293268,0.34098489679530614
44,1317.1075532885607,0.3414754544497121
45,1317.106119399629,0.3419661592407763
46,1317.1047608356973,0.34245686099656325
47,1317.1034608091531,0.34294742593734034
48,1317.1022065509683,0.34343773510205844
49,1317.1009883644301,0.3439276812694759
50,1317.0997988836398,0.3444171672251791
51,1317.0986325181866,0.34490610886584877
52,1317.0974850643147,0.3453944343824097
53,1317.0963532594342,0.34588207950677263
54,1317.0952347125678,0.3463689809257402
55,1317.0941275629423,0.3468550902528527
56,1317.0930304357598,0.34734037015060065
57,1317.091942297243,0.347824777351556
58,1317.090862299216,0.34830826540446475
59,1317.0897898759492,0.3487908201181521
60,1317.0887245426616,0.34927240302629975
61,1317.0876659530281,0.34975299487682177
62,1317.0866138156007,0.35023257141035985
63,1317.0855679573517,0.3507111221999123
64,1317.0845281538727,0.3511886169598579
65,1317.0834943100213,0.35166506430256234
66,1317.0824663181152,0.3521404407003175
67,1317.0814440984882,0.3526147365379709
68,1317.0804275865964,0.35308794155516365
69,1317.0794167174327,0.35356004629649873
70,1317.0784114454018,0.35403104703547345
71,1317.0774117298283,0.3545009371486311
72,1317.076417534684,0.35496971094310287
73,1317.0754288261205,0.35543736347043636
74,1317.0744455768909,0.3559038911034599
75,1317.0734677375794,0.356369289166514
76,1317.0724953026433,0.3568335629256458
77,1317.0715282459087,0.35729670239437156
78,1317.0705665421724,0.35775870509937613
79,1317.069610167253,0.35821956943584427
80,1317.0686590962646,0.35867929390569225
81,1317.0677133070583,0.35913787767899974
82,1317.0667727707614,0.3595953191444863
83,1317.065837482833,0.3600516201290011
84,1317.0649074054998,0.36050677251570523
85,1317.0639825112282,0.36096078204576226
86,1317.063062784304,0.3614136497194636
87,1317.0621482021631,0.3618653736081831
88,1317.0612387431083,0.36231595368658126
89,1317.0603343896205,0.3627653897556627
90,1317.0594351153359,0.3632136807792224
91,1317.0585408979407,0.36366082775240843
92,1317.0576517154163,0.3641068310699888
93,1317.056767546358,0.3645516910758021
94,1317.0558883691106,0.36499540770245137
95,1317.055014162007,0.36543798157194135
96,1317.0541449034645,0.3658794131362424
97,1317.0532805716616,0.36631970284255716
98,1317.0524211457503,0.3667588514908535
99,1317.0515666043543,0.3671968590962088
100,1317.0507169257849,0.36763372611332024
101,1317.049872087869,0.3680694531713547
102,1317.0490320696024,0.3685040411858179
103,1317.048196850128,0.36893749079306243
104,1317.0473664079598,0.3693698024907816
105,1317.0465407218048,0.3698009770213132
106,1317.0457197704548,0.3702310151097154
107,1317.0449035327263,0.3706599174822107
108,1317.0440919874552,0.3710876848911636
109,1317.043285113503,0.37151431811927266
110,1317.0424828897644,0.37193981797697717
111,1317.0416852951707,0.3723641852990938
112,1317.0408923086945,0.37278742094211614
113,1317.0401039093495,0.3732095257824086
114,1317.0393200761912,0.37363050071519904
115,1317.0385407883166,0.3740503466541386
116,1317.0377660248637,0.3744690645311565
117,1317.0369957650119,0.37488665529638715
118,1317.036229987982,0.37530311991804544
119,1317.0354686730366,0.37571845938220577
120,1317.0347117994802,0.3761326746925007
121,1317.0339593466601,0.3765457668697667
122,1317.0332112939686,0.3769577369516724
123,1317.032467620841,0.3773685859923569
124,1317.0317283067582,0.37777831506209003
125,1317.030993331246,0.3781869252469707
126,1317.0302626738767,0.378594417648668
127,1317.0295363142684,0.3790007933842047
128,1317.0288142320858,0.37940605358577734
129,1317.0280964070405,0.3798101994006076
130,1317.0273828188917,0.3802132319908074
131,1317.0266734474458,0.38061515253324196
132,1317.0259682725575,0.3810159622193772
133,1317.0252672741299,0.381415662255105
134,1317.024570432115,0.38181425386053824
135,1317.0238777265154,0.38221173826978977
136,1317.023189137382,0.3826081167307459
137,1317.0225046448172,0.38300339050485643
