n_agents,train_choices,seed,p_hat,p_se,transition_n,transition_score_residual,nfxp_theta,nfxp_RC,nfxp_nll,nfxp_success,best_start_index,bellman_residual,bellman_iterations,ccp_theta,ccp_RC,ccp_equation_rmse,nfxp_brier,nfxp_logloss,nfxp_state_rate_rmse,ccp_brier,ccp_logloss,ccp_state_rate_rmse
400,8000,1103,0.5891404979356938,0.005503021378499976,7993,-1.8189894035458565e-12,0.7065583934792892,3.430998185325316,3741.1788704202213,True,1,8.739675649849232e-13,264,0.7447026707959465,3.5231678634938355,0.05291225585085355,0.15523630394861407,0.47050460560991086,0.02285767748286255,0.15562719221565555,0.4711915319119131,0.030221874312359256
400,8000,2207,0.5975472406457264,0.005485838423286617,7991,1.8189894035458565e-12,0.6715289072847002,3.1965931882807626,3844.5725885205998,True,3,8.899547765395255e-13,263,0.7077355968541323,3.278325624111885,0.048790579094843765,0.15385706310609745,0.47255952649364963,0.023589752825551258,0.1539741418165209,0.47292668848839775,0.025952941043242937
400,8000,3313,0.5984232261293956,0.005483880070533246,7991,0.0,0.648480524081235,3.121061220877744,3911.22442462966,True,1,8.562039965909207e-13,263,0.7056727015964619,3.253257475595874,0.07777813787668522,0.15634720339151292,0.4755728102794037,0.023962843606973115,0.1568784096216678,0.47640820021628844,0.03324791879031109
400,8000,4421,0.6040310465698547,0.005471938032127077,7988,1.8189894035458565e-12,0.6090348629039378,3.0800700504416376,3910.589490069667,True,1,8.22453216642316e-13,263,0.6505893847313331,3.1580267465177134,0.09182781973970137,0.16104857395145192,0.488530075858292,0.02016729021798498,0.16087907576368254,0.4881716602346761,0.015401993603656185
400,8000,5531,0.5936170212765958,0.005494744938879452,7990,-9.094947017729282e-13,0.6612629327177358,3.2768583281875383,3839.876937635071,True,1,8.135714324453147e-13,264,0.6890082939049194,3.3322711724671583,0.04628866191278453,0.1628068333671296,0.4948281090934271,0.02169811934685131,0.1630183899807423,0.49549488064310454,0.026122117004616516
2000,40000,1103,0.5967959949937421,0.0024542396988586103,39950,7.275957614183426e-12,0.6514314331903809,3.193591343863004,19300.662924598313,True,2,8.757439218243235e-13,263,0.6843500964186127,3.2734673573185527,0.046993312855196284,0.1599130216006062,0.48499114084936046,0.005926637026063277,0.15996122326469517,0.48509124793156544,0.009128345443051716
2000,40000,2207,0.5964947421131698,0.0024548438863545644,39940,0.0,0.6441073362309533,3.1889796035764437,19288.62469795995,True,1,8.686384944667225e-13,263,0.6556620365079938,3.2161466970980697,0.01995963882705346,0.15821281156142805,0.4815663328772863,0.013038270896402892,0.15822106366919966,0.4815769587002159,0.013350978081760357
2000,40000,3313,0.5974217772215269,0.002453619825050803,39950,0.0,0.656889922756404,3.174110606831324,19415.23212584391,True,1,8.739675649849232e-13,263,0.6856451241495691,3.236255602765931,0.04307867542317255,0.15981591411211876,0.4850220279867367,0.011105662474673272,0.1599535628820608,0.4852705035338908,0.016155014978123536
2000,40000,4421,0.6013273228149261,0.0024502706048196944,39930,7.275957614183426e-12,0.6298306133589461,3.10982200943652,19549.31410892533,True,3,8.419931418757187e-13,263,0.6269890146679807,3.1037396495366756,0.029937281435219426,0.16101359361023518,0.4886387087726675,0.004362574246447865,0.1610196417216868,0.4886543033906657,0.005008010134520291
2000,40000,5531,0.6033597876974689,0.0024477452242730575,39943,0.0,0.6490942095355408,3.234228218854329,19257.583417635182,True,1,8.917311333789257e-13,263,0.6698879727329747,3.2848943843036054,0.02841130536293676,0.16253978740927674,0.4922663761142528,0.015135187257481295,0.1625029031678458,0.49226343757991636,0.013863248244479483
