beta,theta,RC,population_KL_per_choice,max_ccp_difference,success
0.5,0.8629769203449505,2.9424763888385073,0.0005067265006504764,0.03559467529777893,True
0.51,0.8576445362439349,2.9480137564343862,0.00048456391509172026,0.034875039607625724,True
0.52,0.8523116757417307,2.953592467325599,0.0004627688325912147,0.034147839525453194,True
0.53,0.846978497915296,2.959213242289623,0.00044134914762961085,0.03341301124744489,True
0.54,0.8416449478456383,2.9648760176755165,0.0004203128963529297,0.032670447947578674,True
0.55,0.8363111636206123,2.9705814712083853,0.00039966825941711403,0.031920078329442214,True
0.56,0.8309771579360018,2.976329804748116,0.00037942356490296435,0.031161805547507027,True
0.57,0.8256429760919203,2.9821211780731103,0.00035958729130170744,0.030395544958749854,True
0.58,0.8203086880048032,2.9879562299847837,0.0003401680705739876,0.02962119876986513,True
0.59,0.8149743771253941,2.9938351630565103,0.0003211746912850042,0.02883869234548242,True
0.6,0.8096403197842656,2.9997589440852694,0.0003026161018123245,0.028047990498844655,True
0.61,0.8043061608694411,3.0057269595073595,0.0002845014136442091,0.027248884955361374,True
0.62,0.7989722183569815,3.0117401260448906,0.0002668399047480072,0.02644135574786577,True
0.63,0.7936385476207476,3.017798719771211,0.0002496410230284302,0.025625309819138575,True
0.64,0.7883051702476033,3.0239031024867327,0.00023291438987414303,0.02480063562648871,True
0.65,0.7829721842216106,3.0300536345830364,0.00021666980379147994,0.023967250128806405,True
0.66,0.777639613416784,3.0362507165656503,0.0002009172441306906,0.02312503790548326,True
0.67,0.7723075744559392,3.0424947137186,0.0001856668749079999,0.022273920518687373,True
0.68,0.7669761698558873,3.0487861878896036,0.00017092904872403777,0.021413804695445626,True
0.69,0.7616454366029659,3.0551253698459715,0.00015671431078414946,0.02054458325095121,True
0.7,0.7563154482592702,3.061512718622162,0.0001430334030213443,0.01966615257833182,True
0.71,0.7509862545524654,3.067948423088083,0.00012989726832610167,0.018778408927997092,True
0.72,0.7456578718219707,3.0744327972307746,0.0001173170548883649,0.017881227359464846,True
0.73,0.740330644539069,3.0809670569352563,0.00010530412064318103,0.016974582369507663,True
0.74,0.7350044300585525,3.087550897470531,9.387003785347919e-05,0.016058305487987923,True
0.75,0.72967932660948,3.094184758170001,8.302659778836766e-05,0.015132296439821613,True
0.76,0.7243555411578898,3.1008694815033437,7.278581554153577e-05,0.014196484419531807,True
0.77,0.7190328982284403,3.107604671730093,6.31599349720368e-05,0.013250681854056756,True
0.78,0.713711775389306,3.1143916308403448,5.416143377699423e-05,0.012294870811912051,True
0.79,0.7083921545784919,3.1212305335993515,4.5803028700578516e-05,0.011328905790278565,True
0.8,0.7030740212835076,3.1281213304487308,3.809768087947165e-05,0.01035264844374817,True
0.81,0.6977575465879752,3.1350647665542914,3.105860133792694e-05,0.009366009180634016,False
0.82,0.692442914953414,3.142061653531246,2.4699256624863577e-05,0.00836890156707637,True
0.83,0.6871300688099908,3.149111914417774,1.9033374609156326e-05,0.007361162802930421,True
0.84,0.681819090366298,3.15621581658607,1.4074950429680883e-05,0.006342676900843891,True
0.85,0.6765102838860542,3.1633747385551954,9.838252605553433e-06,0.0053133862030291246,True
0.86,0.6712035675405863,3.170588261327912,6.3378293240953545e-06,0.004273122851395583,True
0.87,0.6658990505861453,3.1778570284045626,3.5885148876059224e-06,0.003221763469086647,True
0.88,0.6605968671606061,3.1851815206449596,1.6054363483882554e-06,0.002159201179281367,True
0.89,0.655297165330108,3.19256245226568,4.040203230375183e-07,0.0010853255292613273,True
0.9,0.6499999995278088,3.1999999998278392,-6.156020814225152e-18,3.2589753118372755e-10,True
0.91,0.6447054487178373,3.2074946011206245,4.094223376801862e-07,0.0010969136832279514,True
0.92,0.6394136384262402,3.215046686750714,1.6486554674925206e-06,0.0022055316921725243,True
0.93,0.6341246924074038,3.2226568576942634,3.734396304360859e-06,0.0033259801654541565,True
0.94,0.628838731603858,3.230325577655573,6.683678370532598e-06,0.004458383166018098,True
0.95,0.6235558155985805,3.2380531320174684,1.0513879842528098e-05,0.005602891380097619,True
0.96,0.6182762058101143,3.245840535823799,1.524273182421025e-05,0.00675958216639605,True
0.97,0.6129998458302769,3.253687597735755,2.0888326856164216e-05,0.007928652401916203,True
0.98,0.6077267493567814,3.2615942772648996,2.7469127666069472e-05,0.009110273851564488,True
0.99,0.6024573676472288,3.269562482164676,3.500397617843768e-05,0.010304463140226261,True
