row_id,state_harm,maintenance_cost,subsidy_loading,objective_ccp_sse,linf_distance,restriction_delta,restriction_slack,acceptance_tolerance,restricted_accept,slab_membership,is_domain_boundary
34,0.1,0.55,0.0,0.18559392517860837,0.8871519453404465,0.35,0.5371519453404465,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
35,0.1,0.55,0.125,0.15059290650663162,0.7621519453404465,0.35,0.4121519453404465,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
36,0.1,0.55,0.25,0.12034866612263917,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
37,0.1,0.55,0.375,0.09532182977960021,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
38,0.1,0.55,0.5,0.07582906750630324,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
39,0.1,0.55,0.625,0.06202742486617323,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low,True
40,0.1,0.55,0.75,0.05390817269327976,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low,True
41,0.1,0.55,0.875,0.05130077396610482,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low,True
42,0.1,0.55,1.0,0.05388651573251066,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low,True
43,0.1,0.55,1.125,0.061220366212935175,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low,True
44,0.1,0.55,1.25,0.07275884707024108,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
45,0.1,0.55,1.375,0.08789126731264241,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
46,0.1,0.55,1.5,0.1059715900740744,0.6773187538521104,0.35,0.3273187538521104,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
47,0.1,0.55,1.625,0.12634846789583945,0.7378480546595535,0.35,0.3878480546595535,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
48,0.1,0.55,1.75,0.14839150152274472,0.8628480546595535,0.35,0.5128480546595535,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
49,0.1,0.55,1.875,0.1715124368514338,0.9878480546595535,0.35,0.6378480546595535,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
50,0.1,0.55,2.0,0.1951806977017871,1.1128480546595534,0.35,0.7628480546595534,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
51,0.1,0.7249999999999999,0.0,0.2538450596735347,0.8871519453404465,0.35,0.5371519453404465,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
52,0.1,0.7249999999999999,0.125,0.21318197895709712,0.7621519453404465,0.35,0.4121519453404465,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
53,0.1,0.7249999999999999,0.25,0.17643511536251388,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
54,0.1,0.7249999999999999,0.375,0.14422554817270128,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
55,0.1,0.7249999999999999,0.5,0.11706524248910016,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_low,True
56,0.1,0.7249999999999999,0.625,0.09533082092307754,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low,True
57,0.1,0.7249999999999999,0.75,0.07924447433147491,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low,True
58,0.1,0.7249999999999999,0.875,0.0688638752357781,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low,True
59,0.1,0.7249999999999999,1.0,0.0640820928407337,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low,True
60,0.1,0.7249999999999999,1.125,0.06463747976343621,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low,True
61,0.1,0.7249999999999999,1.25,0.07013246756558138,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
62,0.1,0.7249999999999999,1.375,0.08005933468596758,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
63,0.1,0.7249999999999999,1.5,0.0938304271528378,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
64,0.1,0.7249999999999999,1.625,0.11081008957120539,0.7378480546595535,0.35,0.3878480546595535,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
65,0.1,0.7249999999999999,1.75,0.1303456999345735,0.8628480546595535,0.35,0.5128480546595535,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
66,0.1,0.7249999999999999,1.875,0.15179563192450285,0.9878480546595535,0.35,0.6378480546595535,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
67,0.1,0.7249999999999999,2.0,0.17455258639357685,1.1128480546595534,0.35,0.7628480546595534,1e-12,True,state_harm_low|maintenance_cost_low|subsidy_loading_high,True
68,0.1,0.8999999999999999,0.0,0.336822752740522,0.8871519453404465,0.35,0.5371519453404465,1e-12,True,state_harm_low|subsidy_loading_low,True
69,0.1,0.8999999999999999,0.125,0.2918629845189568,0.7621519453404465,0.35,0.4121519453404465,1e-12,True,state_harm_low|subsidy_loading_low,True
70,0.1,0.8999999999999999,0.25,0.24982593517548132,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
71,0.1,0.8999999999999999,0.375,0.21143294961231396,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
72,0.1,0.8999999999999999,0.5,0.1773402673732926,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
73,0.1,0.8999999999999999,0.625,0.14810696850556077,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
74,0.1,0.8999999999999999,0.75,0.1241665526244311,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
75,0.1,0.8999999999999999,0.875,0.10580473059486041,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
76,0.1,0.8999999999999999,1.0,0.09314556335648212,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
77,0.1,0.8999999999999999,1.125,0.08614732035806891,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
78,0.1,0.8999999999999999,1.25,0.08460844918942673,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_high,True
79,0.1,0.8999999999999999,1.375,0.0881829963759967,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_high,True
80,0.1,0.8999999999999999,1.5,0.09640386369208033,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_high,True
81,0.1,0.8999999999999999,1.625,0.10871157276731189,0.7378480546595535,0.35,0.3878480546595535,1e-12,True,state_harm_low|subsidy_loading_high,True
82,0.1,0.8999999999999999,1.75,0.12448583989485269,0.8628480546595535,0.35,0.5128480546595535,1e-12,True,state_harm_low|subsidy_loading_high,True
83,0.1,0.8999999999999999,1.875,0.14307726003666119,0.9878480546595535,0.35,0.6378480546595535,1e-12,True,state_harm_low|subsidy_loading_high,True
84,0.1,0.8999999999999999,2.0,0.1638367225481116,1.1128480546595534,0.35,0.7628480546595534,1e-12,True,state_harm_low|subsidy_loading_high,True
85,0.1,1.075,0.0,0.4308236520358263,0.8871519453404465,0.35,0.5371519453404465,1e-12,True,state_harm_low|subsidy_loading_low,True
86,0.1,1.075,0.125,0.38303897003608506,0.7621519453404465,0.35,0.4121519453404465,1e-12,True,state_harm_low|subsidy_loading_low,True
87,0.1,1.075,0.25,0.33712036808394846,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
88,0.1,1.075,0.375,0.2938251386104003,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
89,0.1,1.075,0.5,0.25389139232023833,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
90,0.1,1.075,0.625,0.21800536993368663,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
91,0.1,1.075,0.75,0.18676868968804106,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
92,0.1,1.075,0.875,0.1606681504945447,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
93,0.1,1.075,1.0,0.14005074974106851,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
94,0.1,1.075,1.125,0.12510626964319566,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
95,0.1,1.075,1.25,0.11585914256930982,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_high,True
96,0.1,1.075,1.375,0.11217039686635202,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_high,True
97,0.1,1.075,1.5,0.11374944160351814,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_high,True
98,0.1,1.075,1.625,0.12017443499003427,0.7378480546595535,0.35,0.3878480546595535,1e-12,True,state_harm_low|subsidy_loading_high,True
99,0.1,1.075,1.75,0.13091915695749204,0.8628480546595535,0.35,0.5128480546595535,1e-12,True,state_harm_low|subsidy_loading_high,True
100,0.1,1.075,1.875,0.14538379189615952,0.9878480546595535,0.35,0.6378480546595535,1e-12,True,state_harm_low|subsidy_loading_high,True
101,0.1,1.075,2.0,0.16292687880647255,1.1128480546595534,0.35,0.7628480546595534,1e-12,True,state_harm_low|subsidy_loading_high,True
102,0.1,1.2499999999999998,0.0,0.5320234884094149,0.8871519453404465,0.35,0.5371519453404465,1e-12,True,state_harm_low|subsidy_loading_low,True
103,0.1,1.2499999999999998,0.125,0.4828722032313838,0.7621519453404465,0.35,0.4121519453404465,1e-12,True,state_harm_low|subsidy_loading_low,True
104,0.1,1.2499999999999998,0.25,0.4345515665241738,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
105,0.1,1.2499999999999998,0.375,0.3877956399188136,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
106,0.1,1.2499999999999998,0.5,0.3433606974646482,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_low,True
107,0.1,1.2499999999999998,0.625,0.30199635961403115,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
108,0.1,1.2499999999999998,0.75,0.2644135980948188,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
109,0.1,1.2499999999999998,0.875,0.23125170755161495,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
110,0.1,1.2499999999999998,1.0,0.20304676217526788,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
111,0.1,1.2499999999999998,1.125,0.18020424014155595,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low,True
112,0.1,1.2499999999999998,1.25,0.1629783342167345,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_high,True
113,0.1,1.2499999999999998,1.375,0.15145995376971255,0.6585435394988677,0.35,0.3085435394988677,1e-12,True,state_harm_low|subsidy_loading_high,True
