estimator,start_id,initial_state_harm,terminal_state_harm,raw_gradient_state_harm,projected_gradient_state_harm,initial_maintenance_cost,terminal_maintenance_cost,raw_gradient_maintenance_cost,projected_gradient_maintenance_cost,initial_subsidy_loading,terminal_subsidy_loading,raw_gradient_subsidy_loading,projected_gradient_subsidy_loading,objective,success,status,message,iterations,active_bounds,projected_gradient_inf,selected,objective_gap
NFXP,0,0.1,0.7585436376399429,4.547473486014681e-05,4.547473486014681e-05,0.2,1.2273189296997824,-4.54747353650178e-05,-4.54747353650178e-05,0.0,0.8871521442238868,4.547473486014681e-05,4.547473486014681e-05,3152.106538715208,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,none,4.54747353650178e-05,False,4.092726157978177e-12
NFXP,1,2.0,0.7585435495857251,4.547473486014681e-05,4.547473486014681e-05,3.0,1.2273187805109902,-4.54747353650178e-05,-4.54747353650178e-05,2.0,0.8871520652331949,0.0,0.0,3152.1065387152057,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,none,4.54747353650178e-05,False,1.8189894035458565e-12
NFXP,2,0.1,0.7585435914983333,0.0,0.0,3.0,1.227318808723256,0.0,0.0,2.0,0.8871519575529137,0.0,0.0,3152.106538715205,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,none,0.0,False,9.094947017729282e-13
NFXP,3,2.0,0.7585434439398231,0.0,0.0,0.2,1.227318683856596,4.54747353650178e-05,4.54747353650178e-05,0.0,0.8871520041178254,0.0,0.0,3152.1065387152057,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,none,4.54747353650178e-05,False,1.8189894035458565e-12
NFXP,4,0.5,0.758543480673575,9.094946972029363e-05,9.094946972029363e-05,1.0,1.2273185546160197,-9.09494707300356e-05,-9.09494707300356e-05,0.5,0.8871519091615245,9.094946972029363e-05,9.094946972029363e-05,3152.106538715211,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,none,9.09494707300356e-05,False,7.275957614183426e-12
NFXP,5,1.2,0.7585434322309709,0.0,0.0,2.2,1.2273187592276031,4.54747353650178e-05,4.54747353650178e-05,1.4,0.8871520970479105,0.0,0.0,3152.1065387152084,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,none,4.54747353650178e-05,False,4.547473508864641e-12
NFXP,6,1.8,0.7585436220247959,0.0,0.0,0.7,1.2273188572286222,9.09494707300356e-05,9.09494707300356e-05,1.8,0.8871519885595283,0.0,0.0,3152.1065387152057,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,none,9.09494707300356e-05,False,1.8189894035458565e-12
NFXP,7,0.8,0.7585435394988677,9.094946972029363e-05,9.094946972029363e-05,2.8,1.2273187538521104,4.54747353650178e-05,4.54747353650178e-05,0.2,0.8871519453404465,0.0,0.0,3152.106538715204,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,none,9.094946972029363e-05,True,0.0
