seed,market,product,alpha_hat_GMM,price,true_markup,recovered_markup,markup_error,true_mc,recovered_mc,mc_error
48101,0,0,1.4237467945836546,2.991657685960292,1.2765501031092603,1.07593578405848,-0.2006143190507803,1.7151075828510318,1.9157219019018121,0.2006143190507803
48101,0,1,1.4237467945836546,2.8271316915257607,1.2765501031092599,1.0759357840584802,-0.20061431905077964,1.5505815884165008,1.7511959074672805,0.20061431905077964
48101,1,0,1.4237467945836546,2.9531161743227003,1.3791315448228647,1.162396192977106,-0.21673535184575865,1.5739846294998356,1.7907199813455943,0.21673535184575865
48101,1,1,1.4237467945836546,3.1611918504182035,1.3791315448228691,1.1623961929771058,-0.2167353518457633,1.7820603055953343,1.9987956574410977,0.2167353518457633
48101,2,0,1.4237467945836546,2.935132569560792,1.1752821440341474,0.9905824393819979,-0.18469970465214958,1.7598504255266447,1.9445501301787944,0.1846997046521497
48101,2,1,1.4237467945836546,2.6790863605016835,1.1752821440341474,0.990582439381998,-0.18469970465214947,1.503804216467536,1.6885039211196855,0.18469970465214947
48101,3,0,1.4237467945836546,3.0458317470405394,1.242293439804708,1.0470626753555408,-0.19523076444916732,1.8035383072358313,1.9987690716849986,0.19523076444916732
48101,3,1,1.4237467945836546,2.5651211773997544,1.2422934398047087,1.0470626753555408,-0.19523076444916798,1.3228277375950457,1.5180585020442137,0.19523076444916798
48101,4,0,1.4237467945836546,2.5315790434715564,1.2823802310805028,1.0808496870025333,-0.20153054407796955,1.2491988123910536,1.4507293564690231,0.20153054407796955
48101,4,1,1.4237467945836546,2.911337086117934,1.2823802310805026,1.0808496870025333,-0.20153054407796933,1.6289568550374316,1.830487399115401,0.20153054407796933
48101,5,0,1.4237467945836546,3.2279267241094014,1.2875622591312657,1.0852173411981896,-0.20234491793307607,1.9403644649781358,2.142709382911212,0.2023449179330763
48101,5,1,1.4237467945836546,3.27024941196726,1.2875622591312657,1.0852173411981896,-0.20234491793307607,1.9826871528359944,2.1850320707690702,0.20234491793307585
48101,6,0,1.4237467945836546,2.673464190655792,1.2221438498072292,1.0300796639879648,-0.19206418581926443,1.4513203408485629,1.6433845266678273,0.19206418581926443
48101,6,1,1.4237467945836546,3.2079028542407633,1.222143849807229,1.0300796639879648,-0.1920641858192642,1.9857590044335343,2.1778231902527985,0.1920641858192642
48101,7,0,1.4237467945836546,3.0133933551938283,1.1845593995760588,0.9984017417275036,-0.1861576578485552,1.8288339556177695,2.0149916134663246,0.1861576578485551
48101,7,1,1.4237467945836546,2.9557053893125937,1.1845593995760586,0.9984017417275034,-0.1861576578485552,1.7711459897365351,1.9573036475850905,0.1861576578485553
