seed,market,scenario,consumer_payment,producer_revenue,producer_profit,tax_payment,subsidy_payment,real_resource_cost,consumer_surplus,welfare_CS_plus_profit_minus_net_fiscal
48101,0,baseline,1.0221369705381012,1.0221369705381012,0.44321676977592683,0.0,0.0,0.5789202007621744,0.35540230341870477,0.7986190731946317
48101,1,baseline,1.204794740996169,1.204794740996169,0.545798211489512,0.0,0.0,0.6589965295066571,0.4198129520960622,0.9656111635855742
48101,2,baseline,0.8146879879638349,0.8146879879638349,0.3419488107008142,0.0,0.0,0.47273917726302067,0.2865248317895976,0.6284736424904118
48101,3,baseline,0.9044649741216253,0.9044649741216253,0.4089601064713678,0.0,0.0,0.4955048676502575,0.332733980276869,0.7416940867482369
48101,4,baseline,0.9574766020380994,0.9574766020380994,0.4490468977471693,0.0,0.0,0.50842970429093,0.3591995528534711,0.8082464506006404
48101,5,baseline,1.1468160304299202,1.1468160304299202,0.45422892579793217,0.0,0.0,0.6925871046319878,0.3625602214894782,0.8167891472874104
48101,6,baseline,0.9486703377991001,0.9486703377991001,0.38881051647389464,0.0,0.0,0.5598598213252055,0.31910677276262506,0.7079172892365198
48101,7,baseline,0.885062084119193,0.885062084119193,0.3512260662427255,0.0,0.0,0.5338360178764675,0.2930770396142296,0.644303105856955
48101,8,baseline,1.0223988487939215,1.0223988487939215,0.4564046735405658,0.0,0.0,0.5659941752533556,0.3639672159118792,0.820371889452445
48101,9,baseline,0.9203816814300638,0.9203816814300638,0.3758734086288146,0.0,0.0,0.5445082728012492,0.31023843021453223,0.6861118388433468
48101,10,baseline,0.891047569719708,0.891047569719708,0.38214336031290486,0.0,0.0,0.508904209406803,0.31454824757554645,0.6966916078884513
48101,11,baseline,0.8785453550521896,0.8785453550521896,0.388426992791877,0.0,0.0,0.4901183622603126,0.31884522153314615,0.7072722143250232
48101,12,baseline,0.987079490652836,0.987079490652836,0.4254645448525115,0.0,0.0,0.5616149458003244,0.34373229784652715,0.7691968426990387
48101,13,baseline,0.8702130080092996,0.8702130080092996,0.43055798248138266,0.0,0.0,0.4396550255279169,0.34709738708162996,0.7776553695630126
48101,14,baseline,0.8930408958238996,0.8930408958238996,0.3775295829342068,0.0,0.0,0.5155113128896928,0.31137901347440405,0.6889085964086108
48101,15,baseline,0.8771512885208388,0.8771512885208388,0.43484137497591263,0.0,0.0,0.4423099135449262,0.34991682158009235,0.784758196556005
48101,16,baseline,1.0678173317336002,1.0678173317336002,0.4468167944686465,0.0,0.0,0.6210005372649534,0.3577490959942851,0.8045658904629316
48101,17,baseline,0.9736321264566509,0.9736321264566509,0.4031329539182036,0.0,0.0,0.5704991725384474,0.3288159164537771,0.7319488703719808
48101,18,baseline,0.9321972446460767,0.9321972446460767,0.40191587677649354,0.0,0.0,0.5302813678695831,0.32799524673310926,0.7299111235096027
48101,19,baseline,1.095848552958099,1.095848552958099,0.48004515352002397,0.0,0.0,0.615803399438075,0.37910364308124117,0.8591487966012652
48101,20,baseline,1.1429647740927964,1.1429647740927964,0.4916130311764202,0.0,0.0,0.6513517429163762,0.38641127983127715,0.8780243110076973
48101,21,baseline,0.8906679678114726,0.8906679678114726,0.3810274325199337,0.0,0.0,0.5096405352915389,0.31378281374850486,0.6948102462684386
48101,22,baseline,0.7467635362914752,0.7467635362914752,0.30486379029616495,0.0,0.0,0.4418997459953102,0.2598059140461965,0.5646697043423614
48101,23,baseline,0.8420829961465229,0.8420829961465229,0.3644650810096729,0.0,0.0,0.47761791513685004,0.30233897819457844,0.6668040592042513
48101,24,baseline,0.8386458257302005,0.8386458257302005,0.36217016406427527,0.0,0.0,0.47647566166592525,0.30074082514535994,0.6629109892096352
48101,25,baseline,1.0455659753880708,1.0455659753880708,0.49350935749355196,0.0,0.0,0.552056617894519,0.38760313345714903,0.881112490950701
48101,26,baseline,0.970879682729225,0.970879682729225,0.4034374628089703,0.0,0.0,0.5674422199202547,0.3290211191106176,0.7324585819195879
48101,27,baseline,0.819978135808193,0.819978135808193,0.357274422092265,0.0,0.0,0.4627037137159281,0.2973212103249592,0.6545956324172242
48101,28,baseline,0.8515861081785019,0.8515861081785019,0.3587093650569141,0.0,0.0,0.4928767431215878,0.2983249546606255,0.6570343197175396
48101,29,baseline,0.8517325367259411,0.8517325367259411,0.3573921147743506,0.0,0.0,0.49434042195159045,0.2974035820275044,0.654795696801855
48101,30,baseline,0.9911246368105496,0.9911246368105496,0.4133713985566392,0.0,0.0,0.5777532382539105,0.33568784390643586,0.7490592424630751
48101,31,baseline,0.8381995690221675,0.8381995690221675,0.3773972692388943,0.0,0.0,0.46080229978327325,0.3112879483042899,0.6886852175431841
48101,32,baseline,0.8331368350224712,0.8331368350224712,0.35052307235737207,0.0,0.0,0.48261376266509903,0.2925823391028617,0.6431054114602337
48101,33,baseline,1.0557392699363617,1.0557392699363617,0.4805812732917598,0.0,0.0,0.5751579966446019,0.37944373949739896,0.8600250127891588
48101,34,baseline,0.9213241204840581,0.9213241204840581,0.36021389532363446,0.0,0.0,0.5611102251604236,0.29937607863988264,0.6595899739635172
48101,35,baseline,1.0095436087912846,1.0095436087912846,0.45688384723983944,0.0,0.0,0.552659761551445,0.36427676502544254,0.8211606122652819
48101,36,baseline,0.8817435238068181,0.8817435238068181,0.4286535147254169,0.0,0.0,0.4530900090814012,0.3458407494601121,0.774494264185529
48101,37,baseline,0.7813072646723522,0.7813072646723522,0.3261689131977677,0.0,0.0,0.4551383514745845,0.27526031000449885,0.6014292232022665
48101,38,baseline,0.984309981698292,0.984309981698292,0.419678835406085,0.0,0.0,0.5646311462922069,0.3398932869535137,0.7595721223595987
48101,39,baseline,0.9637781605417282,0.9637781605417282,0.4163342845117849,0.0,0.0,0.5474438760299432,0.3376659725208827,0.7540002570326676
48101,40,baseline,0.8865491436241023,0.8865491436241023,0.3541430455704728,0.0,0.0,0.5324060980536295,0.29512660172779154,0.6492696472982644
48101,41,baseline,0.9481034154748165,0.9481034154748165,0.4072058944250966,0.0,0.0,0.5408975210497198,0.331556419151435,0.7387623135765315
48101,42,baseline,0.9659634536358128,0.9659634536358128,0.379349397178641,0.0,0.0,0.5866140564571719,0.3126304957044975,0.6919798928831385
48101,43,baseline,0.8370458559910143,0.8370458559910143,0.3775786900628029,0.0,0.0,0.4594671659282114,0.31141280902369217,0.6889914990864952
