seed,method,parameter,estimate,truth,error,moment_max_abs,design_condition
48101,OLS,constant,0.00883955164774166,2.0,-1.9911604483522582,3.4310517390186607e-15,4204.521049614886
48101,OLS,x,0.26221037343106435,0.4,-0.13778962656893567,3.4310517390186607e-15,4204.521049614886
48101,OLS,price,-0.5038644471854881,-1.2,0.6961355528145119,3.4310517390186607e-15,4204.521049614886
48101,IV_2SLS,constant,2.641132858554497,2.0,0.6411328585544971,0.00015301428193287536,164.816714257265
48101,IV_2SLS,x,0.4175772461300502,0.4,0.017577246130050184,0.00015301428193287536,164.816714257265
48101,IV_2SLS,price,-1.4237400315339892,-1.2,-0.22374003153398925,0.00015301428193287536,164.816714257265
48101,GMM_2step,constant,2.641094406343855,2.0,0.6410944063438548,0.00013466857626275353,164.816714257265
48101,GMM_2step,x,0.41754397139146515,0.4,0.01754397139146513,0.00013466857626275353,164.816714257265
48101,GMM_2step,price,-1.4237467945836546,-1.2,-0.22374679458365465,0.00013466857626275353,164.816714257265
48101,INVALID_PROXY_IV,constant,1.4120208714522244,2.0,-0.5879791285477756,0.0008235311442442769,139.0435698297914
48101,INVALID_PROXY_IV,x,0.34503089077829063,0.4,-0.05496910922170939,0.0008235311442442769,139.0435698297914
48101,INVALID_PROXY_IV,price,-0.9942171875565182,-1.2,0.20578281244348173,0.0008235311442442769,139.0435698297914
48102,OLS,constant,0.1532874494420044,2.0,-1.8467125505579955,1.971571054563507e-15,4007.451164433235
48102,OLS,x,0.2794518803284832,0.4,-0.1205481196715168,1.971571054563507e-15,4007.451164433235
48102,OLS,price,-0.5526489351927133,-1.2,0.6473510648072867,1.971571054563507e-15,4007.451164433235
48102,IV_2SLS,constant,2.340949321230197,2.0,0.34094932123019683,0.0032165094379551858,147.650634419591
48102,IV_2SLS,x,0.4137576991002621,0.4,0.013757699100262089,0.0032165094379551858,147.650634419591
48102,IV_2SLS,price,-1.321305425327118,-1.2,-0.12130542532711797,0.0032165094379551858,147.650634419591
48102,GMM_2step,constant,2.3584119152602456,2.0,0.35841191526024563,0.003332586803049111,147.650634419591
48102,GMM_2step,x,0.4148827894175205,0.4,0.01488278941752047,0.003332586803049111,147.650634419591
48102,GMM_2step,price,-1.3275448061946542,-1.2,-0.12754480619465425,0.003332586803049111,147.650634419591
48102,INVALID_PROXY_IV,constant,1.2949634574499764,2.0,-0.7050365425500236,0.002406389012086571,127.45490512250002
48102,INVALID_PROXY_IV,x,0.3495421136524621,0.4,-0.050457886347537895,0.002406389012086571,127.45490512250002
48102,INVALID_PROXY_IV,price,-0.9537880163747395,-1.2,0.24621198362526042,0.002406389012086571,127.45490512250002
48103,OLS,constant,0.1696062778348759,2.0,-1.830393722165124,1.5915509650928547e-15,3458.5040348725033
