seed,scenario,market,root_success,independent_raw_foc_max,finite_difference_profit_gradient_max,independent_solve_price_gap,accepted
48101.0,baseline,0.0,True,4.85722573273506e-17,2.7755575615628914e-11,1.318944953254686e-13,True
48101.0,baseline,1.0,True,5.134781488891349e-15,5.551115123125783e-11,2.7977620220553945e-14,True
48101.0,baseline,2.0,True,2.7755575615628914e-17,2.7755575615628914e-11,2.6384361362374875e-10,True
48101.0,baseline,3.0,True,1.8596235662471372e-15,5.551115123125783e-11,1.3766765505351941e-14,True
48101.0,baseline,4.0,True,6.938893903907228e-18,5.551115123125783e-11,1.5543122344752192e-13,True
48101.0,baseline,5.0,True,3.469446951953614e-17,0.0,1.7053025658242404e-13,True
48101.0,baseline,6.0,True,2.498001805406602e-16,2.7755575615628914e-11,2.802202914153895e-13,True
48101.0,baseline,7.0,True,3.469446951953614e-17,0.0,2.052487069192921e-10,True
48101.0,baseline,8.0,True,1.2045919817182948e-14,2.7755575615628914e-11,8.993250588673618e-12,True
48101.0,baseline,9.0,True,1.3877787807814457e-16,2.7755575615628914e-11,4.440892098500626e-16,True
48101.0,baseline,10.0,True,2.42861286636753e-16,8.326672684688674e-11,8.288751907059577e-10,True
48101.0,baseline,11.0,True,3.400058012914542e-16,5.551115123125783e-11,2.4868995751603507e-14,True
48101.0,baseline,12.0,True,5.294376048681215e-15,2.7755575615628914e-11,4.8405723873656825e-14,True
48101.0,baseline,13.0,True,4.85722573273506e-17,5.551115123125783e-11,2.398081733190338e-14,True
48101.0,baseline,14.0,True,5.551115123125783e-17,2.7755575615628914e-11,1.3279022326173617e-10,True
48101.0,baseline,15.0,True,2.7755575615628914e-17,5.551115123125783e-11,4.1744385725905886e-14,True
48101.0,baseline,16.0,True,6.744604874597826e-15,2.7755575615628914e-11,1.0436096431476471e-13,True
48101.0,baseline,17.0,True,9.08995101411847e-16,2.7755575615628914e-11,4.884981308350689e-15,True
48101.0,baseline,18.0,True,9.43689570931383e-16,5.551115123125783e-11,1.0580381015756757e-10,True
48101.0,baseline,19.0,True,5.551115123125783e-17,2.7755575615628914e-11,6.347101066950245e-09,True
48101.0,baseline,20.0,True,2.7755575615628914e-15,5.551115123125783e-11,2.155437606177202e-09,True
48101.0,baseline,21.0,True,2.498001805406602e-16,5.551115123125783e-11,3.340794307860051e-11,True
48101.0,baseline,22.0,True,5.551115123125783e-17,2.7755575615628914e-11,2.4764323924841847e-10,True
48101.0,baseline,23.0,True,1.3877787807814457e-16,5.551115123125783e-11,4.077627124843275e-12,True
48101.0,baseline,24.0,True,2.7755575615628914e-17,2.7755575615628914e-11,1.9477042201287986e-10,True
48101.0,baseline,25.0,True,2.7755575615628914e-17,2.7755575615628914e-11,2.1598278721057795e-11,True
48101.0,baseline,26.0,True,9.71445146547012e-16,5.551115123125783e-11,2.3092638912203256e-14,True
48101.0,baseline,27.0,True,8.326672684688674e-17,5.551115123125783e-11,2.4278090648977013e-10,True
48101.0,baseline,28.0,True,6.245004513516506e-17,2.7755575615628914e-11,2.498929951855189e-10,True
48101.0,baseline,29.0,True,3.469446951953614e-17,0.0,2.495168516247759e-10,True
48101.0,baseline,30.0,True,2.2065682614424986e-15,5.551115123125783e-11,3.47588624549644e-12,True
48101.0,baseline,31.0,True,1.6653345369377348e-16,2.7755575615628914e-11,7.549516567451064e-15,True
48101.0,baseline,32.0,True,3.8163916471489756e-17,2.7755575615628914e-11,2.9942670565219487e-10,True
48101.0,baseline,33.0,True,1.6375789613221059e-15,5.551115123125783e-11,6.081419812176136e-10,True
48101.0,baseline,34.0,True,3.122502256758253e-17,0.0,1.2012613126444194e-12,True
48101.0,baseline,35.0,True,1.1324274851176597e-14,5.551115123125783e-11,7.89988519045437e-10,True
48101.0,baseline,36.0,True,6.938893903907228e-17,0.0,5.240252676230739e-14,True
48101.0,baseline,37.0,True,6.938893903907228e-18,2.7755575615628914e-11,1.0347278589506459e-13,True
48101.0,baseline,38.0,True,2.9629076969683865e-15,0.0,4.04121180963557e-14,True
48101.0,baseline,39.0,True,2.345346139520643e-15,2.7755575615628914e-11,4.085620730620576e-14,True
48101.0,baseline,40.0,True,4.163336342344337e-17,5.551115123125783e-11,2.9753977059954195e-14,True
48101.0,baseline,41.0,True,1.27675647831893e-15,2.7755575615628914e-11,6.661338147750939e-15,True
48101.0,baseline,42.0,True,1.8041124150158794e-16,2.7755575615628914e-11,4.06493505522576e-10,True
48101.0,baseline,43.0,True,1.6653345369377348e-16,5.551115123125783e-11,3.552713678800501e-15,True
