seed,market,scenario,root_id,p1,p2
48101,0,baseline,0,2.991657685960292,2.8271316915257607
48101,1,baseline,0,2.9531161743227003,3.1611918504182035
48101,2,baseline,0,2.935132569560792,2.6790863605016835
48101,3,baseline,0,3.0458317470405394,2.5651211773997544
48101,4,baseline,0,2.5315790434715564,2.911337086117934
48101,5,baseline,0,3.2279267241094014,3.27024941196726
48101,6,baseline,0,2.673464190655792,3.2079028542407633
48101,7,baseline,0,3.0133933551938283,2.9557053893125937
48101,8,baseline,0,3.0781500484939546,2.8133671293435656
48101,9,baseline,0,2.7174100050604286,3.16158566480445
48101,10,baseline,0,2.7193667320913963,3.0017962167479966
48101,11,baseline,0,2.618816138786763,3.0055901135722487
48101,12,baseline,0,2.8282787909016243,3.053436643370945
48101,13,baseline,0,2.4818106205648176,2.629401181905707
48101,14,baseline,0,2.69293368525653,3.021310089737185
48101,15,baseline,0,2.4665262231384846,2.6194297221554392
48101,16,baseline,0,2.977104035412553,3.1286154715881156
48101,17,baseline,0,3.011787039347162,2.9584772306500984
48101,18,baseline,0,2.8925447941390483,2.8294976644573606
48101,19,baseline,0,2.977850781527664,3.030995588365751
48101,20,baseline,0,3.040122438417407,3.1309555080914686
48101,21,baseline,0,2.7836639679951767,2.9121533977796688
48101,22,baseline,0,2.830527306133968,2.751351126037676
48101,23,baseline,0,2.981786953317713,2.563051965911381
48101,24,baseline,0,2.7549294720123054,2.7832660743397795
48101,25,baseline,0,2.6652137297717693,2.9327224970372323
48101,26,baseline,0,3.195841054017378,2.7708776224029226
48101,27,baseline,0,3.061203944006774,2.402535804728689
48101,28,baseline,0,2.927312987009117,2.730253837452469
48101,29,baseline,0,2.8169345133747523,2.858607512319203
48101,30,baseline,0,3.108481191520286,2.8133254702854438
48101,31,baseline,0,2.604145890322461,2.778092674080407
48101,32,baseline,0,2.742460027717371,2.878059564691679
48101,33,baseline,0,2.9716661560364876,2.8087321021107474
48101,34,baseline,0,3.193629280300215,2.8223032044793688
48101,35,baseline,0,2.795278546323596,2.9736809781114135
48101,36,baseline,0,2.541157229345997,2.64775204382287
48101,37,baseline,0,2.813140159169447,2.751884695137251
48101,38,baseline,0,2.9123274959575673,2.9683348724741485
48101,39,baseline,0,2.761775555658514,3.0532362960095565
48101,40,baseline,0,2.882480687277288,3.0295353986131706
48101,41,baseline,0,2.99713581533906,2.8042591360248945
48101,42,baseline,0,3.14630773515063,3.022164181565777
48101,43,baseline,0,2.7034891494397084,2.6719272562792664
48101,44,baseline,0,2.4807738357550413,2.989361511812123
48101,45,baseline,0,2.49692307323972,3.0631745897307985
48101,46,baseline,0,2.7206354790361647,2.9206766795786274
48101,47,baseline,0,3.0211900995588583,2.76180197011497
48101,48,baseline,0,2.8002353425143864,2.905640087965322
48101,49,baseline,0,3.1084835998563474,2.9528975838461133
48101,50,baseline,0,2.710693009380018,2.7447045945466275
48101,51,baseline,0,2.9556277971293206,3.197656828370346
48101,52,baseline,0,2.9080235638813456,2.652732584576618
48101,53,baseline,0,2.9550653936179905,2.806990969984401
48101,54,baseline,0,2.8453535267673327,2.9453823168751536
48101,55,baseline,0,2.7431508849151816,3.025885586256163
48101,56,baseline,0,3.1460493564248115,2.6358987465559394
48101,57,baseline,0,2.9223057438936544,2.9260885359201794
48101,58,baseline,0,2.8444992343266158,2.625001071627783
48101,59,baseline,0,2.682737758090734,2.713975432971446
48101,60,baseline,0,2.8928842109585036,2.8663145515310537
48101,61,baseline,0,2.8853955513459217,3.0920078613788777
48101,62,baseline,0,3.130374766016314,2.8128504792955864
48101,63,baseline,0,2.9258196318410827,2.6600642313450362
48101,64,baseline,0,2.9184543296013232,2.4700393409674173
48101,65,baseline,0,2.7458412458373656,3.1092851417025447
48101,66,baseline,0,2.8477939524594387,2.8196030521180875
48101,67,baseline,0,3.1652088196931687,2.9030797640148904
48101,68,baseline,0,3.1927515194599763,2.5802767608710435
48101,69,baseline,0,2.8540019795724954,3.0069989348341104
48101,70,baseline,0,2.9378430046807082,2.8455245526034054
48101,71,baseline,0,2.8842298164808517,2.6851182115981542
48101,72,baseline,0,2.7127109162064493,2.555575225561289
48101,73,baseline,0,2.9877911495442513,2.6770963361632245
48101,74,baseline,0,2.7284207825948013,2.583153760952564
48101,75,baseline,0,3.1426948170186013,2.7258926087173436
48101,76,baseline,0,2.7600429900058607,2.9870558530598523
48101,77,baseline,0,2.5819043180468597,2.834771216724869
48101,78,baseline,0,2.441628499331442,2.9570570261274827
48101,79,baseline,0,2.4570388378718016,3.0050191025678004
48101,80,baseline,0,3.022880735088044,2.831707252031148
48101,81,baseline,0,2.851963886333897,2.773390116322885
48101,82,baseline,0,2.9556936184712606,2.7709306691792217
48101,83,baseline,0,2.881706601070856,2.6908126869789437
48101,84,baseline,0,2.688954455648173,3.0350863565895088
48101,85,baseline,0,3.032790845868691,2.9127287074842445
48101,86,baseline,0,2.667981083185352,3.085284901608926
48101,87,baseline,0,2.846695834681278,2.7923840696392888
48101,88,baseline,0,2.897905054551023,2.6201243320521637
48101,89,baseline,0,2.9400093425667575,2.848976642142574
48101,90,baseline,0,2.7778827366509327,2.8014757483453008
48101,91,baseline,0,2.7250732249090173,3.0612430534437176
48101,92,baseline,0,3.112711029939195,2.961574990366547
48101,93,baseline,0,2.8562217591810493,2.819141487956699
48101,94,baseline,0,2.9216427575530486,2.779512568463348
48101,95,baseline,0,2.766786050238115,2.979280296892305
48101,96,baseline,0,2.8629855552791543,2.8652573459992863
48101,97,baseline,0,2.986049419743396,2.6058713391579693
48101,98,baseline,0,2.9116983855445073,2.6779378402671
48101,99,baseline,0,2.9374277220103173,3.0099477682307083
48101,100,baseline,0,2.884960696466295,2.650024892364192
48101,101,baseline,0,2.912730511182595,2.723066960715808
48101,102,baseline,0,2.8324661168894503,2.670731378102833
